"id","title","description","availability","inventory","condition","price","sale_price","link","image_link","gtin","is_bundle","age_group","google_product_category"
"6782592909402","The International Submarine Band - Safe At Home","The reissue of The International Submarine Band's 1968 album Safe At Home is available on exclusive Seaglass Blue vinyl.","in stock",240,"new","36.00 USD","","https://www.vinylmeplease.com/products/the-international-submarine-band-safe-at-home","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/safe_at_home_store.jpg?v=1663700665","810143932829","no","adult","543523"
"6831101706330","Cadet Records - The Story of Cadet Records","VMP Anthology 16 is devoted to one of the most forward-thinking, far-out labels of all time: Cadet Records.","in stock",333,"new","399.00 USD","","https://www.vinylmeplease.com/products/the-story-of-cadet-records","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/Cadetproduct.jpg?v=1675460173","810143930085","no","adult","543523"
"6678107783258","Destroyer - LABYRINTHITIS","LABYRINTHITIS is Destroyer's newest album. We have it on Opaque Gray with Black Splatter vinyl.","in stock",239,"new","35.00 USD","","https://www.vinylmeplease.com/products/destroyer-labyrinthitis","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/LABYRINTHITIS_store.jpg?v=1641845725","673855078915","no","adult","543523"
"6682424016986","Rahsaan Roland Kirk - Blacknuss","Blacknuss is Rahsaan Roland Kirk's 1972 album. We have it on Clear with Black Wisps vinyl.","in stock",287,"new","41.00 USD","","https://www.vinylmeplease.com/products/roland-kirk-blacknuss","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/blacknuss_store.jpg?v=1649186063","810143932799","no","adult","543523"
"6716582821978","Remi Wolf - Juno","Remi Wolf's studio debut album, Juno, is here on Yellow vinyl.","in stock",1092,"new","35.00 USD","","https://www.vinylmeplease.com/products/remi-wolf-juno","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/juno_store.jpg?v=1654881576","602445007615","no","adult","543523"
"6695794573402","Julia Jacklin - Pre Pleasure","Indie artist Julia Jacklin's latest album, PRE PLEASURE, is available on Neon Purple Butterfly vinyl.","in stock",68,"new","37.00 USD","","https://www.vinylmeplease.com/products/julia-jacklin-pre-pleasure","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/pre_pleasure_store.jpg?v=1652188448","644110961211","no","adult","543523"
"6841605554266","Yves Tumor - Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)","Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds), the latest release from American musician Yves Tumor, is available on exclusive Clear vinyl.","in stock",255,"new","36.00 USD","","https://www.vinylmeplease.com/products/yves-tumor-praise-a-lord-who-chews-but-which-does-not-consume-or-simply-hot-between-worlds","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/praise_a_Lord_who_chews_But_Which_Does_not_Consume_or_simply_hot_between_worlds_store.jpg?v=1674770041","5056614703689","no","adult","543523"
"6643586629722","Mavis Staples - We'll Never Turn Back","We'll Never Turn Back is gospel and soul singer Mavis Staples' 2007 album. We have it on Blue & White vinyl.","in stock",116,"new","41.00 USD","","https://www.vinylmeplease.com/products/mavis-staples-well-never-turn-back","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/we_ll_never_turn_back_store.jpg?v=1655841486","810143932652","no","adult","543523"
"1907651772506","D.R.A.M. - Spotify Singles Vol. 004","The best bands and artists are always popping into Spotify's in-house and partner studios to record Spotify Singles. We partnered with Spotify for the 7-inch releases of Spotify Singles.","in stock",64,"new","15.00 USD","12.00 USD","https://www.vinylmeplease.com/products/spotify-singles-vol-004-d-r-a-m","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/DRAM.jpg?v=1573245644","810143932393","no","adult","543523"
"6702077313114","Kris Kristofferson - Live At Gilley’s - Pasadena, TX: September 15, 1981","Kris Kristofferson's 1981 live performance at the honky tonk Gilley's is here on Opaque Metallic Silver vinyl.","in stock",70,"new","41.00 USD","","https://www.vinylmeplease.com/products/kris-kristofferson-live-at-gilleys-1981","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/live_at_gilleys_store.jpg?v=1655842330","607396562817","no","adult","543523"
